record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y2_avg_s1,y2_avg_s2,y2_avg,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
210,0,0,0,4,2,0,16,12,0,6,3,2,0,4,1,7,5,8,2.0,0,2.0,3.0,2,0,3.0,7.0,7.0,7.0,6.0,8,2,4,3.0,2,11.0,15.0,1,1,1,1,1,2,1,1,2,4,4,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
222,0,2,2,1,2,0,28,5,0,4,3,1,1,7,6,0,5,1,2.0,0,2.0,3.0,2,0,1.0,6.0,2.0,3.0,2.0,2,3,3,2.0,10,9.0,10.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
249,0,2,0,0,2,0,27,25,1,3,0,6,1,4,2,5,7,1,2.0,0,4.0,4.0,2,0,2.0,10.0,5.0,6.0,6.0,1,0,3,2.0,10,11.0,11.0,1,2,1,1,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,2,2,2,0,0,2,0
250,0,2,0,0,0,2,19,6,0,2,1,4,1,0,4,3,5,1,3.0,1,3.0,3.0,2,0,3.0,5.0,5.0,5.0,5.0,7,1,3,2.0,9,11.0,12.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,1,1,0,1,0,2,0,2,0,1,2,0
266,1,2,0,1,2,2,0,15,1,6,4,1,1,2,0,3,5,1,2.0,0,3.0,4.0,2,0,4.0,7.0,5.0,5.0,7.0,7,1,3,2.0,9,14.0,14.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,2,0,1,0,0,0,2,0,0,3,0,0,0
285,0,2,0,3,0,0,23,24,1,6,7,2,1,1,5,3,0,1,2.0,1,1.0,3.0,2,0,4.0,10.0,5.0,8.0,8.0,4,3,3,2.0,10,10.0,10.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,1,2,2,0,1,2,0
288,0,2,0,3,1,0,1,25,1,2,0,4,1,7,3,1,5,1,2.0,0,4.0,4.0,2,1,2.0,7.0,6.0,9.0,8.0,6,3,3,2.0,10,10.0,10.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,1,1,1,0,1,2,1,1,2,2,0,2,0
297,0,2,0,3,2,0,46,24,0,4,2,6,1,0,1,5,7,1,2.0,0,2.0,3.0,2,0,3.0,6.0,6.0,6.0,5.0,3,3,3,2.0,9,12.0,13.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,2,0,1,0,0,2,2,2,0,0,0,0,0
298,1,2,2,0,1,1,26,6,0,6,2,0,1,2,1,5,7,1,3.0,1,4.0,5.0,2,0,5.0,7.0,6.0,7.0,7.0,4,3,3,2.0,9,13.0,13.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0
299,0,2,0,0,2,1,31,24,0,0,2,5,1,4,1,7,3,1,2.0,1,1.0,4.0,2,1,2.0,8.0,6.0,7.0,8.0,1,3,3,2.0,9,13.0,13.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,1,0,2,2,0,0,0,0,0,0
308,0,2,0,2,1,0,1,24,0,1,3,4,1,0,1,7,6,1,3.0,1,4.0,4.0,2,0,2.0,8.0,6.0,6.0,7.0,5,3,3,2.0,10,10.0,10.0,1,2,1,1,1,2,1,1,2,4,4,1,2,2,1,1,1,1,1,2,2,2,2,2,0,2,0
309,0,2,2,1,2,0,4,24,0,5,3,0,1,2,4,6,7,1,2.0,1,3.0,4.0,2,0,3.0,7.0,6.0,6.0,6.0,1,3,3,2.0,9,11.0,11.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,0,1,1,2,1,2,2,2,0,2,0
313,0,2,0,1,2,0,1,24,0,0,4,2,1,1,1,6,4,1,3.0,0,3.0,5.0,2,0,2.0,9.0,6.0,6.0,5.0,0,3,3,2.0,10,10.0,10.0,1,2,1,1,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,1,2,2,0,1,2,0
324,0,2,0,1,0,0,2,25,0,1,6,4,1,0,3,7,5,1,3.0,1,3.0,4.0,2,0,2.0,10.0,6.0,6.0,8.0,2,3,3,2.0,10,10.0,10.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,1,1,1,1,2,2,0,1,2,0
325,0,2,0,0,2,0,2,25,1,1,6,0,1,4,3,7,2,1,3.0,1,3.0,3.0,2,0,4.0,8.0,6.0,6.0,8.0,5,3,3,2.0,9,9.0,11.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,2,0,1,1,1,2,1,2,2,2,1,2,0
332,0,2,0,0,2,0,46,7,0,0,0,0,1,0,0,0,4,1,2.0,0,3.0,3.0,2,0,3.0,8.0,7.0,7.0,9.0,4,3,3,2.0,10,9.0,9.0,1,2,1,1,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,1,2,1,0,1,2,1
333,1,2,0,0,2,0,0,25,0,1,0,6,1,4,2,5,3,1,2.0,0,4.0,4.0,2,0,2.0,7.0,7.0,7.0,6.0,7,3,3,2.0,9,14.0,13.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,0,2,0,1,2,2,0,3,3,0,0,0
338,0,2,0,1,2,0,20,2,0,6,1,4,1,5,2,7,3,1,3.0,1,4.0,4.0,2,0,2.0,9.0,7.0,6.0,9.0,0,3,3,2.0,9,10.0,11.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,1,1,2,1,2,0,2,0,2,0
339,1,2,0,0,1,0,20,4,0,6,1,0,1,5,4,7,3,1,3.0,1,4.0,4.0,2,0,3.0,6.0,7.0,6.0,7.0,2,3,3,2.0,9,13.0,13.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,2,0,0,1,0,0,2,0,0,3,0,0,0
345,1,2,0,0,1,1,7,30,0,0,2,1,1,4,5,3,7,1,3.0,1,3.0,5.0,2,0,4.0,8.0,7.0,8.0,9.0,6,3,3,2.0,10,10.0,10.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,1,2,2,0,1,2,0
346,0,2,2,5,2,0,24,2,1,4,2,1,1,0,5,3,7,1,3.0,0,4.0,4.0,2,0,3.0,7.0,7.0,7.0,8.0,6,3,3,2.0,9,11.0,12.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,2,0,1,0,1,0,2,2,2,0,0,0,1
347,0,2,2,5,2,0,7,2,1,4,2,6,1,0,5,7,3,1,2.0,0,4.0,5.0,2,0,3.0,7.0,7.0,8.0,6.0,1,3,3,2.0,9,12.0,12.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,0,1,2,2,2,0,0,0,0,0
348,1,2,0,1,1,0,7,5,1,4,2,0,1,1,5,7,3,1,3.0,1,4.0,5.0,2,0,3.0,10.0,7.0,7.0,6.0,6,3,3,2.0,9,12.0,12.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,2,0,0,0,1,2,2,2,2,0,0,0,2
349,0,2,0,1,0,1,29,23,1,4,2,1,1,0,3,6,7,1,3.0,0,3.0,3.0,2,0,3.0,7.0,7.0,7.0,5.0,5,1,3,2.0,9,12.0,13.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0
350,0,2,0,0,2,0,44,30,0,4,2,6,1,1,7,5,3,1,3.0,1,2.0,4.0,2,1,2.0,8.0,7.0,7.0,9.0,0,1,3,2.0,9,13.0,13.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,2,1,1,0,1,0,2,0,0,0,0,2,2
364,0,2,0,0,1,0,28,5,1,1,3,6,1,0,1,5,7,1,1.0,1,2.0,4.0,2,0,2.0,7.0,7.0,6.0,8.0,4,1,3,2.0,9,12.0,12.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,0,0,1,0,0,2,2,0,0,0,2,0
365,0,1,0,1,2,0,1,17,0,6,4,2,1,1,7,3,5,2,2.0,1,1.0,3.0,2,0,4.0,10.0,7.0,7.0,8.0,0,3,2,2.0,10,7.0,9.0,1,2,1,1,1,2,1,1,2,4,4,1,2,2,0,1,1,1,1,2,1,1,1,1,1,1,0
366,1,2,0,0,0,0,46,25,0,3,4,2,1,6,7,5,1,1,1.0,1,1.0,5.0,2,0,5.0,7.0,7.0,7.0,9.0,0,3,3,2.0,9,11.0,12.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,2,0,0,0,1,2,2,2,2,0,0,2,0
367,1,2,2,1,2,0,2,5,0,0,4,2,1,6,7,3,5,1,2.0,0,3.0,4.0,2,1,3.0,8.0,7.0,6.0,6.0,1,3,3,2.0,9,12.0,13.0,1,0,1,0,1,2,1,1,2,4,4,1,2,2,2,0,0,0,0,0,2,0,0,0,0,2,0
381,0,2,0,0,2,0,2,25,0,4,6,2,1,1,5,5,3,1,2.0,1,3.0,4.0,2,1,4.0,8.0,7.0,7.0,9.0,0,3,3,2.0,9,10.0,11.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,1,1,2,1,2,2,2,1,2,0
394,0,2,0,0,1,0,18,7,0,5,0,1,1,4,2,6,7,1,3.0,0,1.0,1.0,2,1,3.0,8.0,8.0,6.0,2.0,3,0,3,2.0,10,11.0,11.0,1,2,1,0,1,2,1,1,2,4,4,1,2,2,0,0,1,0,1,0,1,2,0,0,1,0,0
